"Sigla  da Empresa";"Número do Voo";"D I";"Tipo de Linha";"Aeroporto Origem";"Aeroporto Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação";"Justificativa"
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"24/08/2004 06:50";"24/08/2004 06:50";"24/08/2004 07:22";"24/08/2004 07:22";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"19/08/2004 06:50";"19/08/2004 06:50";"19/08/2004 07:22";"19/08/2004 07:22";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"04/08/2004 06:50";"04/08/2004 06:50";"04/08/2004 07:27";"04/08/2004 07:27";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"27/08/2004 06:50";"27/08/2004 06:50";"27/08/2004 08:40";"27/08/2004 08:40";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"06/08/2004 06:50";"06/08/2004 06:50";"06/08/2004 08:40";"06/08/2004 08:40";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"21/08/2004 06:51";"21/08/2004 06:51";"21/08/2004 07:42";"21/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"16/08/2004 06:51";"  ";"16/08/2004 07:42";"  ";"Cancelado";"XT"
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"24/08/2004 06:51";"24/08/2004 06:51";"24/08/2004 07:42";"24/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"23/08/2004 06:51";"23/08/2004 06:51";"23/08/2004 07:42";"23/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"06/08/2004 06:51";"06/08/2004 06:51";"06/08/2004 07:42";"06/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"26/08/2004 06:51";"26/08/2004 07:50";"26/08/2004 07:42";"26/08/2004 08:40";"Realizado";"WO"
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"13/08/2004 06:51";"13/08/2004 06:51";"13/08/2004 07:42";"13/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"20/08/2004 06:51";"  ";"20/08/2004 07:42";"  ";"Cancelado";"XT"
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"05/08/2004 06:51";"05/08/2004 06:51";"05/08/2004 07:42";"05/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"19/08/2004 06:51";"19/08/2004 06:51";"19/08/2004 07:42";"19/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"11/08/2004 06:51";"11/08/2004 06:51";"11/08/2004 07:42";"11/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"17/08/2004 06:51";"17/08/2004 06:51";"17/08/2004 07:42";"17/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"14/08/2004 06:51";"14/08/2004 06:51";"14/08/2004 07:42";"14/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"07/08/2004 06:51";"07/08/2004 06:51";"07/08/2004 07:42";"07/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"12/08/2004 06:51";"12/08/2004 06:51";"12/08/2004 07:42";"12/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"28/08/2004 06:51";"28/08/2004 06:51";"28/08/2004 07:42";"28/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"09/08/2004 06:51";"09/08/2004 06:51";"09/08/2004 07:42";"09/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"18/08/2004 06:51";"  ";"18/08/2004 07:42";"  ";"Cancelado";"XT"
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"10/08/2004 06:51";"10/08/2004 06:51";"10/08/2004 07:42";"10/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"25/08/2004 06:51";"25/08/2004 06:51";"25/08/2004 07:42";"25/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"02/08/2004 06:51";"02/08/2004 06:51";"02/08/2004 07:42";"02/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"27/08/2004 06:51";"27/08/2004 06:51";"27/08/2004 07:42";"27/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"04/08/2004 06:51";"04/08/2004 06:51";"04/08/2004 07:42";"04/08/2004 07:42";"Realizado";"  "
"GLO";" 1620";"0";"E";"SBSP";"SBRJ";"03/08/2004 06:51";"03/08/2004 06:51";"03/08/2004 07:42";"03/08/2004 07:42";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"31/08/2004 06:52";"31/08/2004 06:48";"31/08/2004 07:52";"31/08/2004 07:40";"Realizado";"HD"
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"23/08/2004 06:52";"23/08/2004 06:52";"23/08/2004 07:52";"23/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"25/08/2004 06:52";"25/08/2004 06:52";"25/08/2004 07:52";"25/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"13/08/2004 06:52";"13/08/2004 06:52";"13/08/2004 07:52";"13/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"05/08/2004 06:52";"05/08/2004 06:48";"05/08/2004 07:52";"05/08/2004 07:31";"Realizado";"HD"
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"26/08/2004 06:52";"  ";"26/08/2004 07:52";"  ";"Cancelado";"XN"
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"04/08/2004 06:52";"04/08/2004 06:52";"04/08/2004 07:52";"04/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"14/08/2004 06:52";"14/08/2004 07:10";"14/08/2004 07:52";"14/08/2004 08:08";"Realizado";"WO"
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"10/08/2004 06:52";"10/08/2004 06:52";"10/08/2004 07:52";"10/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"19/08/2004 06:52";"  ";"19/08/2004 07:52";"  ";"Cancelado";"XO"
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"30/08/2004 06:52";"30/08/2004 06:52";"30/08/2004 07:52";"30/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"20/08/2004 06:52";"20/08/2004 06:52";"20/08/2004 07:52";"20/08/2004 07:52";"Realizado";"  "
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"06/08/2004 06:52";"06/08/2004 06:47";"06/08/2004 07:52";"06/08/2004 07:40";"Realizado";"HD"
"VRG";" 2739";"0";"R";"SBJV";"SBSP";"17/08/2004 06:52";"17/08/2004 07:40";"17/08/2004 07:52";"17/08/2004 08:40";"Realizado";"WO"
